game_id,video_file,status,inliers,good
7,IMG_5660.MOV,"match FAIL (inliers=6, good=43)",6,43
7,IMG_5662.MOV,"match FAIL (inliers=5, good=44)",5,44
7,IMG_5667.MOV,"match FAIL (inliers=2, good=36)",2,36
7,IMG_5669.MOV,"match FAIL (inliers=6, good=40)",6,40
7,IMG_5671.MOV,"match FAIL (inliers=5, good=55)",5,55
7,IMG_5673.MOV,"match FAIL (inliers=6, good=40)",6,40
7,IMG_5675.MOV,"match FAIL (inliers=7, good=41)",7,41
7,IMG_5676.MOV,"match FAIL (inliers=6, good=35)",6,35
7,IMG_5678.MOV,propagated,73,121
7,IMG_5680.MOV,"match FAIL (inliers=19, good=47)",19,47
7,IMG_5682.MOV,propagated,59,97
7,IMG_5684.MOV,propagated,49,105
7,IMG_5686.MOV,propagated,30,67
8,IMG_3689.MOV,propagated,3000,3000
8,IMG_3692.MOV,propagated,625,723
8,IMG_3694.MOV,propagated,732,857
8,IMG_3695.MOV,propagated,652,775
8,IMG_3696.MOV,propagated,715,851
8,IMG_3697.MOV,propagated,752,861
8,IMG_3698.MOV,propagated,702,840
8,IMG_3700.MOV,propagated,481,779
8,IMG_3702.MOV,propagated,609,741
8,IMG_3704.MOV,propagated,566,685
8,IMG_3706.MOV,propagated,208,332
8,IMG_3707.MOV,propagated,640,835
8,IMG_3709.MOV,propagated,614,826
8,IMG_3713.MOV,"match FAIL (inliers=6, good=43)",6,43
8,IMG_3714.MOV,"match FAIL (inliers=6, good=49)",6,49
8,IMG_3716.MOV,"match FAIL (inliers=5, good=44)",5,44
8,IMG_3717.MOV,"match FAIL (inliers=6, good=33)",6,33
8,IMG_3719.MOV,"match FAIL (inliers=6, good=51)",6,51
8,IMG_3726.MOV,"match FAIL (inliers=5, good=45)",5,45
8,IMG_3730.MOV,"match FAIL (inliers=5, good=39)",5,39
8,IMG_3731.MOV,"match FAIL (inliers=7, good=36)",7,36
8,IMG_3733.MOV,"match FAIL (inliers=8, good=46)",8,46
8,IMG_3734.MOV,"match FAIL (inliers=8, good=49)",8,49
9,IMG_1525.MOV,propagated,3000,3000
9,IMG_1531.MOV,propagated,153,315
9,IMG_1540.MOV,"match FAIL (inliers=15, good=55)",15,55
9,IMG_1543.MOV,"match FAIL (inliers=17, good=45)",17,45
9,IMG_1552.MOV,propagated,20,71
9,IMG_1553.MOV,propagated,29,62
9,IMG_1555.MOV,propagated,37,89
