possession_id,game_id,period,time_remaining,player_number,distance_m,angle_deg,defender_count,is_man_up,empty_net,shot_type,attack_type,shooter_handedness,y,xg_raw,xg
2_P0005,2,1,03:29,4,6.0,0.0,0,0,0,standard,perimeter,right,0,0.24536180214211778,0.26666666666666666
2_P0006,2,1,02:50,7,3.606,33.69,0,0,0,lob,counter,right,1,0.7210538373529283,0.7435897435897436
2_P0007,2,2,06:43,6,5.0,36.87,1,0,0,skip,set,right,0,0.5123868925240002,0.525
2_P0009,2,2,05:54,6,5.831,59.04,1,0,0,lob,counter,right,1,0.5894011086850296,0.525
2_P0010,2,2,05:12,3,5.0,0.0,0,0,0,lob,counter,right,1,0.708961232774593,0.7435897435897436
2_P0012,2,2,03:45,7,2.236,26.57,1,0,0,standard,counter,right,1,0.7683144116700044,0.7435897435897436
2_P0013,2,3,06:35,7,3.606,33.69,2,0,0,standard,set,right,0,0.5095507790355924,0.525
2_P0014,2,3,05:46,5,7.071,-8.13,1,0,0,standard,perimeter,right,0,0.2538799911517438,0.26666666666666666
2_P0017,2,3,04:26,4,2.828,45.0,1,0,0,standard,counter,right,1,0.7675072882034608,0.7435897435897436
2_P0018,2,3,03:53,7,2.828,45.0,1,0,0,standard,perimeter,right,1,0.47034044301956457,0.42105263157894735
2_P0019,2,4,06:49,12,3.606,-33.69,2,0,0,lob,broken play,right,0,0.4247881517066909,0.39473684210526316
2_P0020,2,4,06:12,3,3.0,0.0,1,0,0,standard,counter,right,0,0.7739718270706821,0.7435897435897436
2_P0022,2,4,05:23,5,1.0,0.0,0,0,0,standard,counter,right,1,0.8886644319378417,1.0
2_P0024,2,4,04:13,4,3.162,71.57,0,0,0,standard,counter,right,1,0.7326077892333395,0.7435897435897436
3_P0001,3,1,06:46,4,7.071,8.13,1,0,0,standard,perimeter,right,0,0.3254206729344099,0.26666666666666666
3_P0002,3,1,06:10,6,5.831,-30.96,1,0,0,standard,counter,right,1,0.5859454323118629,0.525
3_P0004,3,1,04:47,4,6.0,0.0,1,0,0,standard,perimeter,right,1,0.39864940029485607,0.39473684210526316
