possession_id,game_id,distance_bin_model,opponent_team_level,xg_raw,xg_cal,xg
12_P0002,12,Unknown,Unknown,0.1917486994986968,0.25,0.25
12_P0003,12,Unknown,Unknown,0.2707011848399626,0.25,0.25
12_P0004,12,Unknown,Unknown,0.4090796920978553,0.375,0.375
13_P0001,13,Unknown,Unknown,0.1333701684181165,0.25,0.25
13_P0002,13,Unknown,Unknown,0.329476058368082,0.2677280471140336,0.2677280471140343
14_P0001,14,Unknown,Unknown,0.4462550948256653,0.4285714285714285,0.42857142857142855
15_P0001,15,Unknown,Unknown,0.3509960153394168,0.3684210526315789,0.3684210526315789
15_P0002,15,Unknown,Unknown,0.4779756109440049,0.4285714285714285,0.42857142857142855
2_P0001,2,Unknown,Unknown,0.4059902811625889,0.375,0.375
2_P0002,2,Unknown,Unknown,0.6243602617974525,0.631578947368421,0.631578947368421
2_P0003,2,Unknown,Unknown,0.6431451073078142,0.631578947368421,0.631578947368421
2_P0004,2,Unknown,Unknown,0.7142972715754607,0.631578947368421,0.631578947368421
2_P0005,2,Unknown,Unknown,0.1542892419039588,0.25,0.25
2_P0006,2,Unknown,Unknown,0.6304992019028213,0.631578947368421,0.631578947368421
2_P0007,2,Unknown,Unknown,0.394175666490737,0.375,0.375
2_P0009,2,Unknown,Unknown,0.4826214696154126,0.4285714285714285,0.42857142857142855
2_P0010,2,Unknown,Unknown,0.6136573593840852,0.5263157894736842,0.5263157894736842
2_P0012,2,Unknown,Unknown,0.6721102378458819,0.631578947368421,0.631578947368421
2_P0013,2,Unknown,Unknown,0.3962132246785965,0.375,0.375
2_P0014,2,Unknown,Unknown,0.1637476392976984,0.25,0.25
2_P0017,2,Unknown,Unknown,0.7000230465967289,0.631578947368421,0.631578947368421
2_P0018,2,Unknown,Unknown,0.3517296831281583,0.3684210526315789,0.3684210526315789
2_P0019,2,Unknown,Unknown,0.3248958195440377,0.25,0.25
2_P0020,2,Unknown,Unknown,0.6643079994339395,0.631578947368421,0.631578947368421
2_P0022,2,Unknown,Unknown,0.7936811189131823,0.8181818181818182,0.8181818181818182
2_P0024,2,Unknown,Unknown,0.6610366430645933,0.631578947368421,0.631578947368421
3_P0001,3,Unknown,Unknown,0.3494733063737977,0.3684210526315789,0.3684210526315789
3_P0002,3,Unknown,Unknown,0.6186961726356355,0.5263157894736842,0.5263157894736842
3_P0004,3,Unknown,Unknown,0.4109501425087492,0.375,0.375
3_P0005,3,Unknown,Unknown,0.5320124000236939,0.4705882352941176,0.47058823529411764
3_P0006,3,Unknown,Unknown,0.4625472485036235,0.4285714285714285,0.42857142857142855
3_P0007,3,Unknown,Unknown,0.3411539836832638,0.3684210526315789,0.3684210526315789
3_P0008,3,Unknown,Unknown,0.6606168159593665,0.631578947368421,0.631578947368421
3_P0009,3,Unknown,Unknown,0.3770541179409065,0.3684210526315789,0.3684210526315789
3_P0010,3,Unknown,Unknown,0.367482307926527,0.3684210526315789,0.3684210526315789
3_P0011,3,Unknown,Unknown,0.3085398932269812,0.25,0.25
3_P0014,3,Unknown,Unknown,0.6324221774088741,0.631578947368421,0.631578947368421
3_P0015,3,Unknown,Unknown,0.2716731612766404,0.25,0.25
3_P0016,3,Unknown,Unknown,0.473153204816249,0.4285714285714285,0.42857142857142855
3_P0017,3,Unknown,Unknown,0.4916096087885436,0.4285714285714285,0.42857142857142855
3_P0018,3,Unknown,Unknown,0.6003997247333948,0.5263157894736842,0.5263157894736842
3_P0020,3,Unknown,Unknown,0.4184251033832472,0.375,0.375
4_P0001,4,Unknown,Unknown,0.4055552858743127,0.375,0.375
4_P0002,4,Unknown,Unknown,0.5428794186572045,0.4705882352941176,0.47058823529411764
4_P0004,4,Unknown,Unknown,0.3920670790850886,0.3684210526315789,0.3684210526315789
4_P0005,4,Unknown,Unknown,0.2306310051199261,0.25,0.25
4_P0006,4,Unknown,Unknown,0.1457154734186417,0.25,0.25
4_P0008,4,Unknown,Unknown,0.5111444233463659,0.4285714285714285,0.42857142857142855
4_P0009,4,Unknown,Unknown,0.6494908702608766,0.631578947368421,0.631578947368421
4_P0012,4,Unknown,Unknown,0.2576609385462983,0.25,0.25
4_P0014,4,Unknown,Unknown,0.3959795152390349,0.375,0.375
4_P0015,4,Unknown,Unknown,0.3084723630560522,0.25,0.25
4_P0017,4,Unknown,Unknown,0.2160341953696723,0.25,0.25
4_P0018,4,Unknown,Unknown,0.0193480674376451,0.25,0.25
4_P0020,4,Unknown,Unknown,0.2580734085260951,0.25,0.25
4_P0021,4,Unknown,Unknown,0.1820275529661779,0.25,0.25
4_P0022,4,Unknown,Unknown,0.2352632279803755,0.25,0.25
4_P0023,4,Unknown,Unknown,0.2600327777223356,0.25,0.25
4_P0024,4,Unknown,Unknown,0.477962665684133,0.4285714285714285,0.42857142857142855
4_P0025,4,Unknown,Unknown,0.628621317513525,0.631578947368421,0.631578947368421
5_P0002,5,Unknown,Unknown,0.2284137839401239,0.25,0.25
5_P0010,5,Unknown,Unknown,0.2014566102195505,0.25,0.25
5_P0012,5,Unknown,Unknown,0.4421154212224256,0.4285714285714285,0.42857142857142855
5_P0014,5,Unknown,Unknown,0.8860600180291404,1.0,1.0
