possession_id,game_id,video_file,video_timestamp_mmss,xg
2_P0004,2,IMG_6123.MOV,00:05,1.0
2_P0005,2,IMG_6125.MOV,00:43,0.18181818181818182
2_P0006,2,IMG_6127.MOV,00:06,1.0
2_P0007,2,IMG_6128.MOV,00:22,0.18181818181818182
2_P0009,2,IMG_6130.MOV,00:35,0.5789473684210527
2_P0010,2,IMG_6132.MOV,00:05,0.7
2_P0012,2,IMG_6136.MOV,00:11,0.7
2_P0013,2,IMG_6137.MOV,00:31,0.20384809597399137
2_P0014,2,IMG_6139.MOV,00:21,0.0
2_P0017,2,IMG_6141.MOV,00:20,1.0
2_P0018,2,IMG_6142.MOV,00:31,0.7
2_P0019,2,IMG_6143.MOV,00:14,0.4
2_P0020,2,IMG_6144.MOV,00:32,0.7
2_P0022,2,IMG_6145.MOV,00:36,1.0
2_P0024,2,IMG_6150.MOV,00:24,1.0
3_P0001,3,IMG_0157.MOV,00:27,0.5789473684210527
3_P0002,3,IMG_0159.MOV,00:02,0.7
3_P0004,3,IMG_0165.MOV,00:21,0.5789473684210527
3_P0005,3,IMG_0168.MOV,00:17,0.6751950874244842
3_P0006,3,IMG_0172.MOV,00:15,0.18181818181818182
3_P0007,3,IMG_0176.MOV,00:08,0.18181818181818182
3_P0008,3,IMG_0177.MOV,00:04,0.7
3_P0009,3,IMG_0179.MOV,00:32,0.7
3_P0010,3,IMG_0181.MOV,00:31,0.18181818181818182
3_P0011,3,IMG_0183.MOV,00:30,0.18181818181818182
3_P0014,3,IMG_0185.MOV,00:48,0.7
3_P0015,3,IMG_0187.MOV,00:11,0.18181818181818182
3_P0016,3,IMG_0189.MOV,00:20,0.5789473684210527
3_P0017,3,IMG_0196.MOV,00:18,0.18181818181818182
3_P0018,3,IMG_0200.MOV,00:19,0.7
3_P0020,3,IMG_0204.MOV,00:10,0.18181818181818182
4_P0001,4,IMG_2598.MOV,00:24,0.515625
4_P0002,4,IMG_2600.MOV,00:16,0.6842105263157895
4_P0004,4,IMG_2604.MOV,00:34,0.38235294117647056
4_P0005,4,IMG_2606.MOV,00:21,0.38235294117647056
4_P0006,4,IMG_2608.MOV,00:31,0.2
4_P0008,4,IMG_2612.MOV,00:16,0.515625
