game_id,possession_id,video_file,context,t_s,frame_path
1,1_P0019,IMG_6184.MOV,t0,38.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0019-q2-n14-skip_t0.jpg
1,1_P0019,IMG_6184.MOV,tp,40.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0019-q2-n14-skip_tp.jpg
1,1_P0020,IMG_6186.MOV,tm,39.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0020-q2-n12-standard_tm.jpg
1,1_P0020,IMG_6186.MOV,t0,41.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0020-q2-n12-standard_t0.jpg
1,1_P0020,IMG_6186.MOV,tp,43.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0020-q2-n12-standard_tp.jpg
1,1_P0021,IMG_6189.MOV,tm,8.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0021-q3-n4-standard_tm.jpg
1,1_P0021,IMG_6189.MOV,t0,10.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0021-q3-n4-standard_t0.jpg
1,1_P0021,IMG_6189.MOV,tp,12.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0021-q3-n4-standard_tp.jpg
1,1_P0022,IMG_6190.MOV,tm,13.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0022-q3-n4-lob_tm.jpg
1,1_P0022,IMG_6190.MOV,t0,15.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0022-q3-n4-lob_t0.jpg
1,1_P0022,IMG_6190.MOV,tp,17.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0022-q3-n4-lob_tp.jpg
1,1_P0023,IMG_6194.MOV,tm,7.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0023-q3-n7-standard_tm.jpg
1,1_P0023,IMG_6194.MOV,t0,9.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0023-q3-n7-standard_t0.jpg
1,1_P0023,IMG_6194.MOV,tp,11.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0023-q3-n7-standard_tp.jpg
1,1_P0024,IMG_6196.MOV,tm,4.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0024-q3-n12-skip_tm.jpg
1,1_P0024,IMG_6196.MOV,t0,6.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0024-q3-n12-skip_t0.jpg
1,1_P0024,IMG_6196.MOV,tp,8.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0024-q3-n12-skip_tp.jpg
1,1_P0025,IMG_6197.MOV,tm,25.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0025-q3-n3-skip_tm.jpg
1,1_P0025,IMG_6197.MOV,t0,27.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0025-q3-n3-skip_t0.jpg
1,1_P0025,IMG_6197.MOV,tp,29.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0025-q3-n3-skip_tp.jpg
1,1_P0026,IMG_6200.MOV,tm,3.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0026-q4-n3-lob_tm.jpg
1,1_P0026,IMG_6200.MOV,t0,5.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0026-q4-n3-lob_t0.jpg
1,1_P0026,IMG_6200.MOV,tp,7.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0026-q4-n3-lob_tp.jpg
1,1_P0027,IMG_6202.MOV,tm,13.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0027-q4-n3-standard_tm.jpg
1,1_P0027,IMG_6202.MOV,t0,15.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0027-q4-n3-standard_t0.jpg
1,1_P0027,IMG_6202.MOV,tp,17.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0027-q4-n3-standard_tp.jpg
1,1_P0028,IMG_6204.MOV,tm,21.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0028-q4-n6-skip_tm.jpg
1,1_P0028,IMG_6204.MOV,t0,23.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0028-q4-n6-skip_t0.jpg
1,1_P0028,IMG_6204.MOV,tp,25.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0028-q4-n6-skip_tp.jpg
1,1_P0029,IMG_6207.MOV,tm,8.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0029-q4-n4-standard_tm.jpg
1,1_P0029,IMG_6207.MOV,t0,10.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0029-q4-n4-standard_t0.jpg
1,1_P0029,IMG_6207.MOV,tp,12.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0029-q4-n4-standard_tp.jpg
2,2_P0001,IMG_6117.MOV,tm,5.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0001-q1-n7-standard_tm.jpg
2,2_P0001,IMG_6117.MOV,t0,7.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0001-q1-n7-standard_t0.jpg
2,2_P0001,IMG_6117.MOV,tp,9.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0001-q1-n7-standard_tp.jpg
2,2_P0002,IMG_6115.MOV,tm,4.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0002-q1-n3-lob_tm.jpg
2,2_P0002,IMG_6115.MOV,t0,6.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0002-q1-n3-lob_t0.jpg
2,2_P0002,IMG_6115.MOV,tp,8.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0002-q1-n3-lob_tp.jpg
2,2_P0003,IMG_6119.MOV,tm,6.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\2-2-p0003-q1-n3-skip_tm.jpg
