possession_id,game_id,our_team_name,opponent_team_name,our_team_level,opponent_team_level,period,time_remaining,man_state,event_type,turnover_type,turnover_player_number,drawn_by_player_number,shooter_x,shooter_y,defender_count,goalie_present,goalie_distance_m,goalie_lateral,possession_passes,attack_type,shot_type,shot_result,shooter_handedness,player_number,video_file,video_timestamp_mmss
4_P0005,4,usa_academy,brown,ODP Academy,College,1,,6v6,shot,,,,0.3,0.2666666667,2,true,0.5,left,8,perimeter,skip,field block,right,2,IMG_2606.MOV,00:21
4_P0006,4,usa_academy,brown,ODP Academy,College,1,,6v6,shot,,,,0.6,0.5333333333,1,true,0.5,right,4,perimeter,standard,field block,right,3,IMG_2608.MOV,00:31
4_P0007,4,usa_academy,brown,ODP Academy,College,2,,6v6,turnover,steal/interception,8,,,,,,,,9,,,,,,IMG_2610.MOV,00:35
4_P0008,4,usa_academy,brown,ODP Academy,College,2,,6v6,shot,,,,0.5,0.2666666667,2,true,0.5,center,2,set,standard,post/bar,right,10,IMG_2612.MOV,00:16
4_P0009,4,usa_academy,brown,ODP Academy,College,2,,6v6,shot,,,,0.45,0.1333333333,1,true,1,left,1,counter,standard,blocked (GK),right,10,IMG_2613.MOV,00:15
4_P0010,4,usa_academy,brown,ODP Academy,College,2,,6v6,turnover,steal/interception,9,,,,,,,,6,,,,,,IMG_2615.MOV,00:23
4_P0011,4,usa_academy,brown,ODP Academy,College,2,,6v6,turnover,ball under,9,,,,,,,,7,,,,,,IMG_2617.MOV,00:28
4_P0012,4,usa_academy,brown,ODP Academy,College,2,,6v6,shot,,,,0.4,0.4,1,true,0.5,left,4,perimeter,skip,goal,right,2,IMG_2618.MOV,00:19
4_P0013,4,usa_academy,brown,ODP Academy,College,3,,6v6,turnover,steal/interception,3,,,,,,,,7,,,,,,IMG_2621.MOV,00:16
4_P0014,4,usa_academy,brown,ODP Academy,College,3,,6v6,shot,,,,0.45,0.2666666667,0,true,0.5,center,3,perimeter,standard,post/bar,right,9,IMG_2622.MOV,00:43
4_P0015,4,usa_academy,brown,ODP Academy,College,3,,6v6,shot,,,,0.6,0.2666666667,2,true,0.5,right,6,set,standard,field block,right,12,IMG_2624.MOV,00:28
4_P0016,4,usa_academy,brown,ODP Academy,College,3,,6v6,turnover,offensive foul (contra),2,,,,,,,,4,,,,,,IMG_2625.MOV,00:36
4_P0017,4,usa_academy,brown,ODP Academy,College,3,,6v6,shot,,,,0.75,0.4,1,true,0.5,right,1,perimeter,lob,post/bar,right,3,IMG_2626.MOV,00:45
4_P0018,4,usa_academy,brown,ODP Academy,College,3,,6v7,shot,,,,0.5,1,0,false,,,0,other,standard,goals,right,1,IMG_2628.MOV,00:14
4_P0019,4,usa_academy,brown,ODP Academy,College,4,,6v6,turnover,steal/interception,1,,,,,,,,1,,,,,,IMG_2631.MOV,00:28
4_P0020,4,usa_academy,brown,ODP Academy,College,4,,6v6,shot,,,,0.25,0.1333333333,1,true,0,left,3,perimeter,standard,goal,right,9,IMG_2633.MOV,00:23
4_P0021,4,usa_academy,brown,ODP Academy,College,4,,6v6,shot,,,,0.85,0.2666666667,1,true,0.5,center,4,perimeter,standard,field block,right,3,IMG_2635.MOV,00:19
4_P0022,4,usa_academy,brown,ODP Academy,College,4,,6v6,shot,,,,0.2,0.2,1,true,0.5,center,6,perimeter,standard,missed,right,5,IMG_2636.MOV,00:37
4_P0023,4,usa_academy,brown,ODP Academy,College,4,,6v6,shot,,,,0.5,0.4,1,true,0.5,center,5,perimeter,standard,blocked (GK),right,3,IMG_2638.MOV,00:31
4_P0024,4,usa_academy,brown,ODP Academy,College,4,,6v6,shot,,,,0.55,0.1333333333,1,true,0.5,right,0,broken play,standard,blocked (GK),right,12,IMG_2638.MOV,00:34
4_P0025,4,usa_academy,brown,ODP Academy,College,4,,6v6,shot,,,,0.45,0.06666666667,1,true,0.5,right,0,broken play,other,goal,right,5,IMG_2638.MOV,00:35
5_P0001,5,usa_academy,air_force,ODP Academy,College,1,4:21,6v6,turnover,steal/interception,9,,,,,,,,5,,,,,,IMG_2644.MOV,00:18
5_P0002,5,usa_academy,air_force,ODP Academy,College,,,6v6,shot,,,,0.35,0.4,1,true,1,left,7,perimeter,standard,missed,right,15,IMG_2645.MOV,00:31
5_P0003,5,usa_academy,air_force,ODP Academy,College,,,6v6,turnover,ball under,3,,,,,,,,2,,,,,,IMG_2647.MOV,00:15
5_P0004,5,usa_academy,air_force,ODP Academy,College,,,6v6,turnover,steal/interception,12,,,,,,,,6,,,,,,IMG_2648.MOV,00:29
5_P0005,5,usa_academy,air_force,ODP Academy,College,,,6v6,turnover,steal/interception,5,,,,,,,,3,,,,,,IMG_2650.MOV,00:25
5_P0006,5,usa_academy,air_force,ODP Academy,College,,,6v6,turnover,bad pass / out of bounds,11,,,,,,,,2,,,,,,IMG_2652.MOV,00:18
5_P0007,5,usa_academy,air_force,ODP Academy,College,,,6v6,turnover,steal/interception,3,,,,,,,,1,,,,,,IMG_2654.MOV,00:11
5_P0008,5,usa_academy,air_force,ODP Academy,College,,,6v6,turnover,steal/interception,3,,,,,,,,2,,,,,,IMG_2655.MOV,00:18
5_P0009,5,usa_academy,air_force,ODP Academy,College,,,6v6,turnover,steal/interception,9,,,,,,,,2,,,,,,IMG_2655.MOV,00:57
5_P0010,5,usa_academy,air_force,ODP Academy,College,,,6v6,shot,,,,0.2,0.4666666667,1,true,1,left,3,perimeter,standard,blocked (GK),right,15,IMG_2658.MOV,00:45
5_P0011,5,usa_academy,air_force,ODP Academy,College,,,6v6,turnover,steal/interception,9,,,,,,,,1,,,,,,IMG_2659.MOV,00:37
5_P0012,5,usa_academy,air_force,ODP Academy,College,,,6v5,shot,,,,0.75,0.2666666667,1,true,0.5,right,9,man-up,skip,post/bar,right,3,IMG_2663.MOV,00:55
5_P0013,5,usa_academy,air_force,ODP Academy,College,,,6v6,turnover,steal/interception,15,,,,,,,,3,,,,,,IMG_2666.MOV,00:20
5_P0014,5,usa_academy,air_force,ODP Academy,College,,,6v6,shot,,,,0.45,0.2,1,true,1.5,center,1,counter,skip,goal,right,15,IMG_2667.MOV,00:09
5_P0015,5,usa_academy,air_force,ODP Academy,College,,,6v6,turnover,offensive foul (contra),12,,,,,,,,10,,,,,,IMG_2669.MOV,00:33
5_P0016,5,usa_academy,air_force,ODP Academy,College,,,6v6,shot,,,,0.5,0.4666666667,1,true,1,center,6,perimeter,standard,blocked (GK),right,5,IMG_2675.MOV,00:36
5_P0017,5,usa_academy,air_force,ODP Academy,College,,,6v6,shot,,,,0.35,0.4,1,true,1,left,2,perimeter,standard,goal,right,15,IMG_2677.MOV,00:20
5_P0018,5,usa_academy,air_force,ODP Academy,College,,,6v6,shot,,,,0.7,0.2,1,true,1,right,0,counter,standard,blocked (GK),right,2,IMG_2678.MOV,00:42
5_P0019,5,usa_academy,air_force,ODP Academy,College,,,6v6,shot,,,,0.5,0.06666666667,0,true,1,right,0,broken play,tip/deflection,goal,right,12,IMG_2678.MOV,00:44
5_P0020,5,usa_academy,air_force,ODP Academy,College,,,6v6,shot,,,,0.7,0.4,0,true,1,right,2,perimeter,standard,blocked,right,12,IMG_2680.MOV,00:18
5_P0021,5,usa_academy,air_force,ODP Academy,College,,,6v6,turnover,steal/interception,12,,,,,,,,3,,,,,,IMG_2681.MOV,00:17
