possession_id,game_id,period,time_remaining,man_state,is_man_up,empty_net,shooter_x,shooter_y,distance_m,angle_deg,defender_count,goalie_distance_m,goalie_lateral,attack_type,shot_type,shooter_handedness,player_number,possession_passes,shot_result,video_file,video_timestamp_mmss,distance_bin_model,dist_x_manup_model,dist_x_defbin_model
11_P0012,11,4,,6v6,False,False,1.0,0.8,15.62,39.81,1,0.5,center,perimeter,standard,right,10,2,goal,IMG_2102.MOV,00:09,15+,15+|MU0,15+|1
12_P0001,12,,,6v6,False,False,1.0,0.733,14.862,42.29,1,1.5,center,perimeter,standard,right,4,2,goal,IMG_6444.MOV,00:18,10-15,10-15|MU0,10-15|1
12_P0002,12,,,6v6,False,False,0.25,0.733,12.078,-24.45,1,1.5,left,perimeter,skip,right,7,1,goal,IMG_6421.MOV,00:28,10-15,10-15|MU0,10-15|1
12_P0003,12,,,6v6,False,False,0.5,0.667,10.005,0.0,1,1.0,center,perimeter,standard,right,6,2,post/bar,IMG_6471.MOV,00:34,10-15,10-15|MU0,10-15|1
12_P0004,12,,,6v6,False,False,0.2,0.267,7.214,-56.28,1,1.0,left,perimeter,standard,left,8,0,blocked (GK),IMG_6462.MOV,00:15,6-8,6-8|MU0,6-8|1
13_P0001,13,,,6v6,False,False,0.5,1.0,15.0,0.0,1,0.5,center,perimeter,standard,right,3,0,blocked (GK),IMG_6394.MOV,00:04,10-15,10-15|MU0,10-15|1
13_P0002,13,,,6v6,False,False,0.5,0.667,10.005,0.0,1,0.5,center,perimeter,standard,right,3,0,goal,IMG_6391.MOV,00:18,10-15,10-15|MU0,10-15|1
14_P0001,14,,,6v6,False,False,0.8,0.133,6.323,71.61,1,1.0,center,perimeter,skip,right,7,5,goal,IMG_0077.MOV,00:21,6-8,6-8|MU0,6-8|1
15_P0001,15,,,6v5,True,False,0.8,0.2,6.708,63.43,0,0.5,center,man-up,standard,right,7,8,field block,IMG_0131.MOV,00:37,6-8,6-8|MU1,6-8|0
15_P0002,15,,,6v6,False,False,0.3,0.133,4.47,-63.49,1,0.5,left,perimeter,skip,right,10,5,goal,IMG_0135.MOV,00:13,4-6,4-6|MU0,4-6|1
2_P0001,2,1,06:04,6v6,False,False,0.65,0.4666666667,7.616,23.2,1,1.0,right,counter,standard,right,7,0,goal,IMG_6117.MOV,00:07,6-8,6-8|MU0,6-8|1
2_P0002,2,1,06:33,6v6,False,False,0.5,0.3333333333,5.0,0.0,1,2.0,center,counter,lob,right,3,1,goal,IMG_6115.MOV,00:06,4-6,4-6|MU0,4-6|1
2_P0003,2,1,05:29,6v6,False,False,0.55,0.4,6.083,9.46,0,1.0,center,counter,skip,right,3,1,missed,IMG_6119.MOV,00:08,6-8,6-8|MU0,6-8|0
2_P0004,2,1,04:33,6v6,False,False,0.55,0.2,3.162,18.43,1,1.5,center,counter,lob,right,4,1,goal,IMG_6123.MOV,00:05,2-4,2-4|MU0,2-4|1
2_P0005,2,1,03:29,6v6,False,False,0.5,0.4,6.0,0.0,0,0.5,center,perimeter,standard,right,4,11,blocked (GK),IMG_6125.MOV,00:43,4-6,4-6|MU0,4-6|0
2_P0006,2,1,02:50,6v6,False,False,0.6,0.2,3.606,33.69,0,2.0,right,counter,lob,right,7,0,goal,IMG_6127.MOV,00:06,2-4,2-4|MU0,2-4|0
2_P0007,2,2,06:43,6v6,False,False,0.65,0.2666666667,5.0,36.87,1,0.5,right,set,skip,right,6,5,blocked (GK),IMG_6128.MOV,00:22,4-6,4-6|MU0,4-6|1
2_P0009,2,2,05:54,6v6,False,False,0.75,0.2,5.831,59.04,1,2.0,right,counter,lob,right,6,1,goal,IMG_6130.MOV,00:35,4-6,4-6|MU0,4-6|1
2_P0010,2,2,05:12,6v6,False,False,0.5,0.3333333333,5.0,0.0,0,2.0,center,counter,lob,right,3,1,goal,IMG_6132.MOV,00:05,4-6,4-6|MU0,4-6|0
2_P0012,2,2,03:45,6v6,False,False,0.55,0.1333333333,2.236,26.57,1,1.5,right,counter,standard,right,7,1,goal,IMG_6136.MOV,00:11,2-4,2-4|MU0,2-4|1
2_P0013,2,3,06:35,6v6,False,False,0.6,0.2,3.606,33.69,2,0.5,right,set,standard,right,7,4,missed,IMG_6137.MOV,00:31,2-4,2-4|MU0,2-4|2
2_P0014,2,3,05:46,6v6,False,False,0.45,0.4666666667,7.071,-8.13,1,1.0,left,perimeter,standard,right,5,3,post/bar,IMG_6139.MOV,00:21,6-8,6-8|MU0,6-8|1
2_P0017,2,3,04:26,6v6,False,False,0.6,0.1333333333,2.828,45.0,1,1.0,center,counter,standard,right,4,1,goal,IMG_6141.MOV,00:20,2-4,2-4|MU0,2-4|1
2_P0018,2,3,03:53,6v6,False,False,0.6,0.1333333333,2.828,45.0,1,1.0,right,perimeter,standard,right,7,4,goal,IMG_6142.MOV,00:31,2-4,2-4|MU0,2-4|1
2_P0019,2,4,06:49,6v6,False,False,0.4,0.2,3.606,-33.69,2,2.0,left,broken play,lob,right,12,3,post/bar,IMG_6143.MOV,00:14,2-4,2-4|MU0,2-4|2
2_P0020,2,4,06:12,6v6,False,False,0.5,0.2,3.0,0.0,1,1.5,center,counter,standard,right,3,3,blocked (GK),IMG_6144.MOV,00:32,2-4,2-4|MU0,2-4|1
2_P0022,2,4,05:23,6v6,False,False,0.5,0.06666666667,1.0,0.0,0,0.5,center,counter,standard,right,5,1,goal,IMG_6146.MOV,00:35,0-2,0-2|MU0,0-2|0
2_P0024,2,4,04:13,6v6,False,False,0.65,0.06666666667,3.162,71.57,0,1.0,center,counter,standard,right,4,1,goal,IMG_6150.MOV,00:24,2-4,2-4|MU0,2-4|0
3_P0001,3,1,06:46,6v6,False,False,0.55,0.4666666667,7.071,8.13,1,0.5,center,perimeter,standard,right,4,4,blocked (GK),IMG_0157.MOV,00:27,6-8,6-8|MU0,6-8|1
3_P0002,3,1,06:10,6v6,False,False,0.35,0.3333333333,5.831,-30.96,1,0.5,left,counter,standard,right,6,0,goal,IMG_0159.MOV,00:02,4-6,4-6|MU0,4-6|1
3_P0004,3,1,04:47,6v6,False,False,0.5,0.4,6.0,0.0,1,0.5,center,perimeter,standard,right,4,4,goal,IMG_0165.MOV,00:21,4-6,4-6|MU0,4-6|1
3_P0005,3,1,04:04,6v6,False,False,0.35,0.2,4.243,-45.0,2,0.5,left,set,standard,left,2,4,goal,IMG_0168.MOV,00:17,4-6,4-6|MU0,4-6|2
3_P0006,3,2,06:13,6v6,False,False,0.55,0.2666666667,4.123,14.04,1,1.0,center,broken play,tip/deflection,right,5,3,missed,IMG_0172.MOV,00:15,4-6,4-6|MU0,4-6|1
3_P0007,3,2,05:11,6v6,False,False,0.35,0.4,6.708,-26.57,2,0.5,left,perimeter,standard,right,6,1,field block,IMG_0176.MOV,00:08,6-8,6-8|MU0,6-8|2
3_P0008,3,2,05:09,6v6,False,False,0.5,0.3333333333,5.0,0.0,0,0.0,center,5m penalty,standard,right,6,0,goal,IMG_0177.MOV,00:04,4-6,4-6|MU0,4-6|0
3_P0009,3,2,03:21,6v6,False,False,0.3,0.2,5.0,-53.13,1,0.5,left,perimeter,skip,left,2,10,goal,IMG_0179.MOV,00:32,4-6,4-6|MU0,4-6|1
3_P0010,3,3,06:36,6v6,False,False,0.75,0.1333333333,5.385,68.2,1,0.5,center,perimeter,standard,right,7,6,blocked (GK),IMG_0181.MOV,00:31,4-6,4-6|MU0,4-6|1
3_P0011,3,3,05:48,6v6,False,False,0.75,0.2,5.831,59.04,1,0.5,right,perimeter,standard,right,10,5,blocked (GK),IMG_0183.MOV,00:30,4-6,4-6|MU0,4-6|1
3_P0014,3,3,04:24,6v4,True,False,0.6,0.2,3.606,33.69,1,1.0,right,man-up,standard,right,4,2,goal,IMG_0185.MOV,00:48,2-4,2-4|MU1,2-4|1
3_P0015,3,3,03:17,6v6,False,False,0.2,0.4,8.485,-45.0,0,0.5,right,perimeter,standard,right,7,2,missed,IMG_0187.MOV,00:11,8-10,8-10|MU0,8-10|0
3_P0016,3,3,02:37,6v6,False,False,0.75,0.1333333333,5.385,68.2,0,0.5,right,perimeter,skip,right,7,3,goal,IMG_0189.MOV,00:20,4-6,4-6|MU0,4-6|0
3_P0017,3,4,06:09,6v6,False,False,0.65,0.06666666667,3.162,71.57,1,0.5,center,broken play,tip/deflection,right,4,3,field block,IMG_0196.MOV,00:18,2-4,2-4|MU0,2-4|1
3_P0018,3,4,04:44,6v6,False,False,0.5,0.1333333333,2.0,0.0,1,0.5,left,set,tip/deflection,left,2,3,blocked (GK),IMG_0200.MOV,00:19,0-2,0-2|MU0,0-2|1
3_P0020,3,4,03:23,6v6,False,False,0.5,0.4666666667,7.0,0.0,1,1.5,center,perimeter,standard,right,4,1,blocked (GK),IMG_0204.MOV,00:10,6-8,6-8|MU0,6-8|1
4_P0001,4,1,,6v6,False,False,0.5,0.4,6.0,0.0,1,0.5,center,perimeter,skip,right,2,3,blocked (GK),IMG_2598.MOV,00:21,4-6,4-6|MU0,4-6|1
4_P0002,4,1,,6v6,False,False,0.55,0.2,3.162,18.43,2,0.5,right,set,skip,right,10,4,goal,IMG_2600.MOV,00:16,2-4,2-4|MU0,2-4|2
4_P0004,4,1,,6v5,True,False,0.4,0.4,6.325,-18.43,1,0.5,left,man-up,skip,right,2,3,field block,IMG_2604.MOV,00:34,6-8,6-8|MU1,6-8|1
