possession_id,game_id,our_team_name,opponent_team_name,our_team_level,opponent_team_level,period,time_remaining,man_state,event_type,turnover_type,turnover_player_number,drawn_by_player_number,shooter_x,shooter_y,defender_count,goalie_present,goalie_distance_m,goalie_lateral,possession_passes,attack_type,shot_type,shot_result,shooter_handedness,player_number,video_file,video_timestamp_mmss
4_P0004,4,usa_academy,brown,ODP Academy,College,1.0,,,shot,,,,0.4,0.4,1.0,,0.5,left,3,man-up,skip,field block,,2.0,IMG_2604.MOV,00:34
4_P0005,4,usa_academy,brown,ODP Academy,College,1.0,,,shot,,,,0.3,0.2666666666666666,2.0,,0.5,left,8,perimeter,skip,field block,,2.0,IMG_2606.MOV,00:21
4_P0006,4,usa_academy,brown,ODP Academy,College,1.0,,,shot,,,,0.6,0.5333333333333333,1.0,,0.5,right,4,perimeter,standard,field block,,3.0,IMG_2608.MOV,00:31
4_P0007,4,usa_academy,brown,ODP Academy,College,2.0,,,turnover,steal/interception,8.0,,,,,,,,9,,,,,,IMG_2610.MOV,00:35
4_P0008,4,usa_academy,brown,ODP Academy,College,2.0,,,shot,,,,0.5,0.2666666666666666,2.0,,0.5,center,2,set,standard,post/bar,,0.0,IMG_2612.MOV,00:16
4_P0009,4,usa_academy,brown,ODP Academy,College,2.0,,,shot,,,,0.45,0.1333333333333333,1.0,,1.0,left,1,counter,standard,blocked (GK),,10.0,IMG_2613.MOV,00:15
4_P0010,4,usa_academy,brown,ODP Academy,College,2.0,,,turnover,steal/interception,9.0,,,,,,,,6,,,,,,IMG_2615.MOV,00:23
4_P0011,4,usa_academy,brown,ODP Academy,College,2.0,,,turnover,ball under,9.0,,,,,,,,7,,,,,,IMG_2617.MOV,00:28
4_P0012,4,usa_academy,brown,ODP Academy,College,2.0,,,shot,,,,0.4,0.4,1.0,,0.5,left,4,perimeter,skip,goal,,2.0,IMG_2618.MOV,00:19
4_P0013,4,usa_academy,brown,ODP Academy,College,3.0,,,turnover,steal/interception,3.0,,,,,,,,7,,,,,,IMG_2621.MOV,00:16
4_P0014,4,usa_academy,brown,ODP Academy,College,3.0,,,shot,,,,0.45,0.2666666666666666,0.0,,0.5,center,3,perimeter,standard,post/bar,,9.0,IMG_2622.MOV,00:43
4_P0015,4,usa_academy,brown,ODP Academy,College,3.0,,,shot,,,,0.6,0.2666666666666666,2.0,,0.5,right,6,set,standard,field block,,12.0,IMG_2624.MOV,00:28
4_P0016,4,usa_academy,brown,ODP Academy,College,3.0,,,turnover,offensive foul (contra),2.0,,,,,,,,4,,,,,,IMG_2625.MOV,00:36
4_P0017,4,usa_academy,brown,ODP Academy,College,3.0,,,shot,,,,0.75,0.4,1.0,,0.5,right,1,perimeter,lob,post/bar,,3.0,IMG_2626.MOV,00:45
4_P0018,4,usa_academy,brown,ODP Academy,College,4.0,,,turnover,steal/interception,1.0,,,,,,,,1,,,,,,IMG_2631.MOV,00:28
4_P0019,4,usa_academy,brown,ODP Academy,College,4.0,,,shot,,,,0.25,0.1333333333333333,1.0,,0.0,left,3,perimeter,standard,goal,,9.0,IMG_2633.MOV,00:23
4_P0020,4,usa_academy,brown,ODP Academy,College,4.0,,,shot,,,,0.85,0.2666666666666666,1.0,,0.5,center,4,perimeter,standard,field block,,3.0,IMG_2635.MOV,00:19
4_P0021,4,usa_academy,brown,ODP Academy,College,4.0,,,shot,,,,0.2,0.2,1.0,,0.5,center,6,perimeter,standard,missed,,5.0,IMG_2636.MOV,00:37
4_P0022,4,usa_academy,brown,ODP Academy,College,4.0,,,shot,,,,0.5,0.4,1.0,,0.5,center,5,perimeter,standard,blocked (GK),,3.0,IMG_2638.MOV,00:31
4_P0023,4,usa_academy,brown,ODP Academy,College,4.0,,,shot,,,,0.55,0.1333333333333333,1.0,,0.5,right,0,broken play,standard,blocked (GK),,12.0,IMG_2638.MOV,00:34
4_P0024,4,usa_academy,brown,ODP Academy,College,4.0,,,shot,,,,0.45,0.0666666666666666,1.0,,0.5,right,0,broken play,other,goal,,5.0,IMG_2638.MOV,00:35
5_P0001,5,usa_academy,air_force,ODP Academy,College,1.0,04:21,,turnover,steal/interception,9.0,,,,,,,,5,,,,,,IMG_2644.MOV,00:18
5_P0002,5,usa_academy,air_force,ODP Academy,College,,,,shot,,,,0.35,0.4,1.0,,1.0,left,7,perimeter,standard,missed,,0.0,IMG_2645.MOV,00:31
5_P0003,5,usa_academy,air_force,ODP Academy,College,,,,turnover,ball under,3.0,,,,,,,,2,,,,,,IMG_2647.MOV,00:15
5_P0004,5,usa_academy,air_force,ODP Academy,College,,,,turnover,steal/interception,12.0,,,,,,,,6,,,,,,IMG_2648.MOV,00:29
