possession_id,game_id,our_team_name,opponent_team_name,our_team_level,opponent_team_level,period,time_remaining,man_state,event_type,turnover_type,turnover_player_number,drawn_by_player_number,shooter_x,shooter_y,defender_count,goalie_present,goalie_distance_m,goalie_lateral,possession_passes,attack_type,shot_type,shot_result,shooter_handedness,player_number,video_file,video_timestamp_mmss,x,y,outcome,handed,distance_m,angle_deg,angle_deg_signed,video_timecode,source_video_id
2_P0008,2,west_sub,nwc,IL Club,IL Club,2,06:36,6v6,turnover,ball under,4,,,,,nan,,,2,nan,,,right,,IMG_6128.MOV,0:11,,,,right,,,,11.0,IMG_6128.MOV
2_P0009,2,west_sub,nwc,IL Club,IL Club,2,05:54,6v6,shot,,,,0.75,0.2,1,true,2,right,1,counter,lob,goal,right,6,IMG_6130.MOV,00:35,0.75,0.2,goal,right,5.831,59.04,59.04,35.0,IMG_6130.MOV
2_P0010,2,west_sub,nwc,IL Club,IL Club,2,05:12,6v6,shot,,,,0.5,0.3333333333,0,true,2,center,1,counter,lob,goal,right,3,IMG_6132.MOV,00:05,0.5,0.3333333333,goal,right,5.0,0.0,0.0,5.0,IMG_6132.MOV
2_P0011,2,west_sub,nwc,IL Club,IL Club,2,04:33,6v6,turnover,steal/interception,6,,,,,nan,,,1,nan,,,,,IMG_6134.MOV,00:06,,,,,,,,6.0,IMG_6134.MOV
2_P0012,2,west_sub,nwc,IL Club,IL Club,2,03:45,6v6,shot,,,,0.55,0.1333333333,1,true,1.5,right,1,counter,standard,goal,right,7,IMG_6136.MOV,00:11,0.55,0.1333333333,goal,right,2.236,26.57,26.57,11.0,IMG_6136.MOV
2_P0013,2,west_sub,nwc,IL Club,IL Club,3,06:35,6v6,shot,,,,0.6,0.2,2,true,0.5,right,4,set,standard,missed,right,7,IMG_6137.MOV,00:31,0.6,0.2,missed,right,3.606,33.69,33.69,31.0,IMG_6137.MOV
2_P0014,2,west_sub,nwc,IL Club,IL Club,3,05:46,6v6,shot,,,,0.45,0.4666666667,1,true,1,left,3,perimeter,standard,post/bar,,5,IMG_6139.MOV,00:21,0.45,0.4666666667,post/bar,,7.071,-8.13,-8.13,21.0,IMG_6139.MOV
2_P0015,2,west_sub,nwc,IL Club,IL Club,3,05:31,6v6,turnover,ball under,5,,,,,nan,,,2,nan,,,right,,IMG_6139.MOV,00:37,,,,right,,,,37.0,IMG_6139.MOV
2_P0016,2,west_sub,nwc,IL Club,IL Club,3,04:53,6v6,turnover,offensive foul (contra),4,,,,,nan,,,2,nan,,,,,IMG_6140.MOV,00:12,,,,,,,,12.0,IMG_6140.MOV
2_P0017,2,west_sub,nwc,IL Club,IL Club,3,04:26,6v6,shot,,,,0.6,0.1333333333,1,true,1,center,1,counter,standard,goal,right,4,IMG_6141.MOV,00:20,0.6,0.1333333333,goal,right,2.828,45.0,45.0,20.0,IMG_6141.MOV
2_P0018,2,west_sub,nwc,IL Club,IL Club,3,03:53,6v6,shot,,,,0.6,0.1333333333,1,true,1,right,4,perimeter,standard,goal,right,7,IMG_6142.MOV,00:31,0.6,0.1333333333,goal,right,2.828,45.0,45.0,31.0,IMG_6142.MOV
2_P0019,2,west_sub,nwc,IL Club,IL Club,4,06:49,6v6,shot,,,,0.4,0.2,2,true,2,left,3,broken play,lob,post/bar,right,12,IMG_6143.MOV,00:14,0.4,0.2,post/bar,right,3.606,-33.69,-33.69,14.0,IMG_6143.MOV
2_P0020,2,west_sub,nwc,IL Club,IL Club,4,06:12,6v6,shot,,,,0.5,0.2,1,true,1.5,center,3,counter,standard,blocked (GK),right,3,IMG_6144.MOV,00:32,0.5,0.2,blocked (GK),right,3.0,0.0,0.0,32.0,IMG_6144.MOV
2_P0021,2,west_sub,nwc,IL Club,IL Club,4,06:06,6v6,turnover,bad pass / out of bounds,4,,,,,nan,,,1,nan,,,,,IMG_6145.MOV,00:09,,,,,,,,9.0,IMG_6145.MOV
2_P0022,2,west_sub,nwc,IL Club,IL Club,4,05:23,6v6,shot,,,,0.5,0.06666666667,0,true,0.5,center,1,counter,standard,goal,right,5,IMG_6145.MOV,00:36,0.5,0.06666666667,goal,right,1.0,0.0,0.0,36.0,IMG_6145.MOV
2_P0023,2,west_sub,nwc,IL Club,IL Club,4,04:46,6v6,turnover,steal/interception,7,,,,,nan,,,1,nan,,,,,IMG_6149.MOV,00:11,,,,,,,,11.0,IMG_6149.MOV
2_P0024,2,west_sub,nwc,IL Club,IL Club,4,04:13,6v6,shot,,,,0.65,0.06666666667,0,true,1,center,1,counter,standard,goal,right,4,IMG_6150.MOV,00:24,0.65,0.06666666667,goal,right,3.162,71.57,71.57,24.0,IMG_6150.MOV
3_P0001,3,west_sub,new_trier,IL Club,IL Club,1,06:46,6v6,shot,,,,0.55,0.4666666667,1,true,0.5,center,4,perimeter,standard,blocked (GK),right,4,IMG_0157.MOV,00:27,0.55,0.4666666667,blocked (GK),right,7.071,8.13,8.13,27.0,IMG_0157.MOV
3_P0002,3,west_sub,new_trier,IL Club,IL Club,1,06:10,6v6,shot,,,,0.35,0.3333333333,1,true,0.5,left,0,counter,standard,goal,right,6,IMG_0159.MOV,00:02,0.35,0.3333333333,goal,right,5.831,-30.96,-30.96,2.0,IMG_0159.MOV
3_P0003,3,west_sub,new_trier,IL Club,IL Club,1,05:35,6v6,turnover,steal/interception,10,,,,,nan,,,1,nan,,,,,IMG_0163.MOV,00:03,,,,,,,,3.0,IMG_0163.MOV
3_P0004,3,west_sub,new_trier,IL Club,IL Club,1,04:47,6v6,shot,,,,0.5,0.4,1,true,0.5,center,4,perimeter,standard,goal,right,4,IMG_0165.MOV,00:21,0.5,0.4,goal,right,6.0,0.0,0.0,21.0,IMG_0165.MOV
3_P0005,3,west_sub,new_trier,IL Club,IL Club,1,04:04,6v6,shot,,,,0.35,0.2,2,true,0.5,left,4,set,standard,goal,left,2,IMG_0168.MOV,00:17,0.35,0.2,goal,left,4.243,-45.0,-45.0,17.0,IMG_0168.MOV
3_P0006,3,west_sub,new_trier,IL Club,IL Club,2,06:13,6v6,shot,,,,0.55,0.2666666667,1,true,1,center,3,broken play,tip/deflection,missed,right,5,IMG_0172.MOV,00:15,0.55,0.2666666667,missed,right,4.123,14.04,14.04,15.0,IMG_0172.MOV
3_P0007,3,west_sub,new_trier,IL Club,IL Club,2,05:11,6v6,shot,,,,0.35,0.4,2,true,0.5,left,1,perimeter,standard,field block,right,6,IMG_0176.MOV,00:08,0.35,0.4,field block,right,6.708,-26.57,-26.57,8.0,IMG_0176.MOV
3_P0008,3,west_sub,new_trier,IL Club,IL Club,2,05:09,6v6,shot,,,,0.5,0.3333333333,0,true,0,center,0,5m penalty,standard,goal,right,6,IMG_0177.MOV,00:04,0.5,0.3333333333,goal,right,5.0,0.0,0.0,4.0,IMG_0177.MOV
3_P0009,3,west_sub,new_trier,IL Club,IL Club,2,03:21,6v6,shot,,,,0.3,0.2,1,true,0.5,left,10,perimeter,skip,goal,left,2,IMG_0179.MOV,00:32,0.3,0.2,goal,left,5.0,-53.13,-53.13,32.0,IMG_0179.MOV
3_P0010,3,west_sub,new_trier,IL Club,IL Club,3,06:36,6v6,shot,,,,0.75,0.1333333333,1,true,0.5,center,6,perimeter,standard,blocked (GK),right,7,IMG_0181.MOV,00:31,0.75,0.1333333333,blocked (GK),right,5.385,68.2,68.2,31.0,IMG_0181.MOV
3_P0011,3,west_sub,new_trier,IL Club,IL Club,3,05:48,6v6,shot,,,,0.75,0.2,1,true,0.5,right,5,perimeter,standard,blocked (GK),right,10,IMG_0183.MOV,00:30,0.75,0.2,blocked (GK),right,5.831,59.04,59.04,30.0,IMG_0183.MOV
3_P0012,3,west_sub,new_trier,IL Club,IL Club,3,04:45,6v6,ejection_drawn,,,7,,,,nan,,,5,set,,,,,IMG_0185.MOV,00:23,,,,,,,,23.0,IMG_0185.MOV
3_P0013,3,west_sub,new_trier,IL Club,IL Club,3,04:25,6v5,ejection_drawn,,,4,,,,nan,,,6,man-up,,,,,IMG_0185.MOV,00:43,,,,,,,,43.0,IMG_0185.MOV
3_P0014,3,west_sub,new_trier,IL Club,IL Club,3,04:24,6v4,shot,,,,0.6,0.2,1,true,1,right,2,man-up,standard,goal,right,4,IMG_0185.MOV,00:48,0.6,0.2,goal,right,3.606,33.69,33.69,48.0,IMG_0185.MOV
3_P0015,3,west_sub,new_trier,IL Club,IL Club,3,03:17,6v6,shot,,,,0.2,0.4,0,true,0.5,right,2,perimeter,standard,missed,right,7,IMG_0187.MOV,00:11,0.2,0.4,missed,right,8.485,-45.0,-45.0,11.0,IMG_0187.MOV
3_P0016,3,west_sub,new_trier,IL Club,IL Club,3,02:37,6v6,shot,,,,0.75,0.1333333333,0,true,0.5,right,3,perimeter,skip,goal,right,7,IMG_0189.MOV,00:20,0.75,0.1333333333,goal,right,5.385,68.2,68.2,20.0,IMG_0189.MOV
