possession_id,game_id,our_team_name,opponent_team_name,period,time_remaining,seconds_remaining,clock_bin,our_team_level,opponent_team_level,man_state,attack_type,event_type,possession_outcome_simple,possession_outcome_detail,is_shot,is_turnover,is_ejection_drawn,is_5m_drawn,is_man_up,empty_net,is_heave,is_long_range,defender_count,defender_count_bin,goalie_distance_m,goalie_lateral,shooter_x,shooter_y,distance_m,angle_deg,abs_angle,angle_x_distance,distance_bin,angle_bin,dist_x_manup,dist_x_defbin,poss_idx_in_game,prior_poss_before,prior_shots_before,prior_goals_before,prior_shot_rate_in_game,prior_goal_rate_in_game,last3_shots_before,last3_goals_before,last3_goal_rate_in_game,shot_type,shot_result,shooter_handedness,player_number,possession_passes,video_file,video_timestamp_mmss,sample_weight
1_P0024,1,west_sub,evanston,3,03:44,224.0,gt8s,IL Club,IL Club,6v6,counter,shot,shot_no_goal,post/bar,True,False,False,False,False,False,False,False,1.0,def1,1.0,left,0.35,0.2666666667,5.0,-36.87,36.87,184.35,5-8,30-45,5-8|MU0,5-8|def1,24,23,20.0,8.0,0.8076923076923077,0.391304347826087,3.0,1.0,0.3333333333333333,skip,post/bar,right,12.0,0.0,IMG_6196.MOV,00:06,1.0
1_P0025,1,west_sub,evanston,3,03:08,188.0,gt8s,IL Club,IL Club,6v6,counter,shot,goal,goal,True,False,False,False,False,False,False,False,1.0,def1,1.5,left,0.4,0.1333333333,2.828,-45.0,45.0,127.25999999999999,0-5,45-90,0-5|MU0,0-5|def1,25,24,21.0,8.0,0.8148148148148148,0.375,3.0,1.0,0.3333333333333333,skip,goal,right,3.0,1.0,IMG_6197.MOV,00:27,1.0
1_P0026,1,west_sub,evanston,4,06:31,391.0,gt8s,IL Club,IL Club,6v6,counter,shot,goal,goal,True,False,False,False,False,False,False,False,1.0,def1,1.5,right,0.55,0.2,3.162,18.43,18.43,58.275659999999995,0-5,15-30,0-5|MU0,0-5|def1,26,25,22.0,9.0,0.8214285714285714,0.4,3.0,1.0,0.3333333333333333,lob,goal,right,3.0,1.0,IMG_6200.MOV,00:05,1.0
1_P0027,1,west_sub,evanston,4,05:53,353.0,gt8s,IL Club,IL Club,6v6,set,shot,goal,goal,True,False,False,False,False,False,False,False,2.0,def2p,1.0,left,0.45,0.1333333333,2.236,-26.57,26.57,59.410520000000005,0-5,15-30,0-5|MU0,0-5|def2p,27,26,23.0,10.0,0.8275862068965517,0.4230769230769231,3.0,2.0,0.5,standard,goal,right,3.0,5.0,IMG_6202.MOV,00:15,1.0
1_P0028,1,west_sub,evanston,4,05:24,324.0,gt8s,IL Club,IL Club,6v6,perimeter,shot,shot_no_goal,missed,True,False,False,False,False,False,False,False,1.0,def1,0.5,left,0.3,0.1333333333,4.472,-63.43,63.43,283.65896000000004,0-5,45-90,0-5|MU0,0-5|def1,28,27,24.0,11.0,0.8333333333333334,0.4444444444444444,3.0,3.0,0.6666666666666666,skip,missed,right,6.0,2.0,IMG_6204.MOV,00:23,1.0
1_P0029,1,west_sub,evanston,4,04:28,268.0,gt8s,IL Club,IL Club,6v6,counter,shot,goal,goal,True,False,False,False,False,False,False,False,0.0,def0,1.0,center,0.55,0.1333333333,2.236,26.57,26.57,59.410520000000005,0-5,15-30,0-5|MU0,0-5|def0,29,28,25.0,11.0,0.8387096774193549,0.42857142857142855,3.0,2.0,0.5,standard,goal,right,4.0,1.0,IMG_6207.MOV,00:10,1.0
10_P0001,10,carlsbad,ca_3,,nan,,,CA Club,CA Club,6v5,man-up,shot,shot_no_goal,post/bar,True,False,False,False,True,False,False,False,1.0,def1,0.5,right,0.650000,0.266667,5.0,36.87,36.87,184.35,5-8,30-45,5-8|MU1,5-8|def1,1,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,standard,post/bar,right,19.0,7.0,IMG_5045.MOV,00:16,0.7
10_P0002,10,carlsbad,ca_3,,nan,,,CA Club,CA Club,6v5,man-up,shot,goal,goal,True,False,False,False,True,False,False,False,1.0,def1,0.5,center,0.500000,0.400000,6.0,0.0,0.0,0.0,5-8,0-15,5-8|MU1,5-8|def1,2,1,1.0,0.0,0.5,0.25,1.0,0.0,0.25,standard,goal,right,5.0,3.0,IMG_5045.MOV,00:27,0.7
10_P0003,10,carlsbad,ca_3,,nan,,,CA Club,CA Club,6v6,perimeter,shot,goal,goal,True,False,False,False,False,False,False,False,1.0,def1,1.5,right,0.650000,0.400000,6.708,26.57,26.57,178.23156,5-8,15-30,5-8|MU0,5-8|def1,3,2,2.0,1.0,0.6,0.4,2.0,1.0,0.4,lob,goal,right,11.0,3.0,IMG_5047.MOV,00:11,0.7
10_P0004,10,carlsbad,ca_3,,nan,,,CA Club,CA Club,6v6,counter,shot,goal,goal,True,False,False,False,False,False,False,False,0.0,def0,1.5,center,0.500000,0.266667,4.0,0.0,0.0,0.0,0-5,0-15,0-5|MU0,0-5|def0,4,3,3.0,2.0,0.6666666666666666,0.5,3.0,2.0,0.5,standard,goal,right,10.0,0.0,IMG_5053.MOV,00:04,0.7
