match_id,video_file,t_start,t_end,team,shooter,outcome,x,y,goal_x,goal_y,angle_deg_signed,distance_m,shot_type,pressure,man_up,goalie_x,goalie_y,quarter,clock,notes,schema_version
3,IMG_0179.MOV,,,west_sub,2.0,goal,0.3,0.2,0.0,0.0,-90.0,0.36055512754639896,skip,1.0,0,,,2.0,03:21,,1
3,IMG_0181.MOV,,,west_sub,7.0,blocked,0.75,0.1333333333,0.0,0.0,-90.0,0.7617596587959281,standard,1.0,0,,,3.0,06:36,,1
3,IMG_0183.MOV,,,west_sub,10.0,blocked,0.75,0.2,0.0,0.0,-90.0,0.7762087348130012,standard,1.0,0,,,3.0,05:48,,1
3,IMG_0185.MOV,,,west_sub,nan,nan,,,0.0,0.0,,,nan,nan,0,,,3.0,04:45,,1
3,IMG_0185.MOV,,,west_sub,nan,nan,,,0.0,0.0,,,nan,nan,0,,,3.0,04:25,,1
3,IMG_0185.MOV,,,west_sub,4.0,goal,0.6,0.2,0.0,0.0,-90.0,0.6324555320336759,standard,1.0,0,,,3.0,04:24,,1
3,IMG_0187.MOV,,,west_sub,7.0,miss,0.2,0.4,0.0,0.0,-90.0,0.447213595499958,standard,0.0,0,,,3.0,03:17,,1
3,IMG_0189.MOV,,,west_sub,7.0,goal,0.75,0.1333333333,0.0,0.0,-90.0,0.7617596587959281,skip,0.0,0,,,3.0,02:37,,1
3,IMG_0196.MOV,,,west_sub,4.0,blocked,0.65,0.06666666667,0.0,0.0,-90.0,0.6534098594640955,tip/deflection,1.0,0,,,4.0,06:09,,1
3,IMG_0200.MOV,,,west_sub,2.0,blocked,0.5,0.1333333333,0.0,0.0,-90.0,0.5174724898667453,tip/deflection,1.0,0,,,4.0,04:44,,1
3,IMG_0202.MOV,,,west_sub,nan,nan,,,0.0,0.0,,,nan,nan,0,,,4.0,04:04,,1
3,IMG_0204.MOV,,,west_sub,4.0,blocked,0.5,0.4666666667,0.0,0.0,-90.0,0.683942817645517,standard,1.0,0,,,4.0,03:23,,1
3,IMG_0205.MOV,,,west_sub,nan,nan,,,0.0,0.0,,,nan,nan,0,,,4.0,03:00,,1
3,IMG_0207.MOV,,,west_sub,nan,nan,,,0.0,0.0,,,nan,nan,0,,,4.0,02:13,,1
3,IMG_0209.MOV,,,west_sub,nan,nan,,,0.0,0.0,,,nan,nan,0,,,4.0,01:08,,1
4,IMG_2598.MOV,,,usa_academy,2.0,blocked,0.5,0.4,0.0,0.0,-90.0,0.6403124237432849,skip,1.0,0,,,1.0,nan,,1
4,IMG_2600.MOV,,,usa_academy,10.0,goal,0.55,0.2,0.0,0.0,-90.0,0.5852349955359812,skip,2.0,0,,,1.0,nan,,1
4,IMG_2602.MOV,,,usa_academy,nan,nan,,,0.0,0.0,,,nan,nan,0,,,1.0,nan,,1
4,IMG_2604.MOV,,,usa_academy,2.0,blocked,0.4,0.4,0.0,0.0,-90.0,0.5656854249492381,skip,1.0,0,,,1.0,nan,,1
4,IMG_2606.MOV,,,usa_academy,2.0,blocked,0.3,0.2666666667,0.0,0.0,-90.0,0.40138648598188864,skip,2.0,0,,,1.0,nan,,1
4,IMG_2608.MOV,,,usa_academy,3.0,blocked,0.6,0.5333333333,0.0,0.0,-90.0,0.8027729718973409,standard,1.0,0,,,1.0,nan,,1
4,IMG_2610.MOV,,,usa_academy,nan,nan,,,0.0,0.0,,,nan,nan,0,,,2.0,nan,,1
4,IMG_2612.MOV,,,usa_academy,0.0,post,0.5,0.2666666667,0.0,0.0,-90.0,0.566666666682353,standard,2.0,0,,,2.0,nan,,1
4,IMG_2613.MOV,,,usa_academy,10.0,blocked,0.45,0.1333333333,0.0,0.0,-90.0,0.4693375946681545,standard,1.0,0,,,2.0,nan,,1
4,IMG_2615.MOV,,,usa_academy,nan,nan,,,0.0,0.0,,,nan,nan,0,,,2.0,nan,,1
4,IMG_2617.MOV,,,usa_academy,nan,nan,,,0.0,0.0,,,nan,nan,0,,,2.0,nan,,1
4,IMG_2618.MOV,,,usa_academy,2.0,goal,0.4,0.4,0.0,0.0,-90.0,0.5656854249492381,skip,1.0,0,,,2.0,nan,,1
4,IMG_2621.MOV,,,usa_academy,nan,nan,,,0.0,0.0,,,nan,nan,0,,,3.0,nan,,1
4,IMG_2622.MOV,,,usa_academy,9.0,post,0.45,0.2666666667,0.0,0.0,-90.0,0.5230784942328339,standard,0.0,0,,,3.0,nan,,1
4,IMG_2624.MOV,,,usa_academy,12.0,blocked,0.6,0.2666666667,0.0,0.0,-90.0,0.6565905201332782,standard,2.0,0,,,3.0,nan,,1
4,IMG_2625.MOV,,,usa_academy,nan,nan,,,0.0,0.0,,,nan,nan,0,,,3.0,nan,,1
4,IMG_2626.MOV,,,usa_academy,3.0,post,0.75,0.4,0.0,0.0,-90.0,0.85,lob,1.0,0,,,3.0,nan,,1
4,IMG_2628.MOV,,,usa_academy,1.0,goal,0.5,1.0,0.0,0.0,-90.0,1.118033988749895,standard,0.0,0,,,3.0,nan,,1
4,IMG_2631.MOV,,,usa_academy,nan,nan,,,0.0,0.0,,,nan,nan,0,,,4.0,nan,,1
4,IMG_2633.MOV,,,usa_academy,9.0,goal,0.25,0.1333333333,0.0,0.0,-90.0,0.28333333331764704,standard,1.0,0,,,4.0,nan,,1
4,IMG_2635.MOV,,,usa_academy,3.0,blocked,0.85,0.2666666667,0.0,0.0,-90.0,0.8908485343361625,standard,1.0,0,,,4.0,nan,,1
4,IMG_2636.MOV,,,usa_academy,5.0,miss,0.2,0.2,0.0,0.0,-90.0,0.28284271247461906,standard,1.0,0,,,4.0,nan,,1
4,IMG_2638.MOV,,,usa_academy,3.0,blocked,0.5,0.4,0.0,0.0,-90.0,0.6403124237432849,standard,1.0,0,,,4.0,nan,,1
4,IMG_2638.MOV,,,usa_academy,12.0,blocked,0.55,0.1333333333,0.0,0.0,-90.0,0.5659308948704682,standard,1.0,0,,,4.0,nan,,1
4,IMG_2638.MOV,,,usa_academy,5.0,goal,0.45,0.06666666667,0.0,0.0,-90.0,0.4549114687990279,other,1.0,0,,,4.0,nan,,1
5,IMG_2644.MOV,,,usa_academy,nan,nan,,,0.0,0.0,,,nan,nan,0,,,1.0,4:21,,1
5,IMG_2645.MOV,,,usa_academy,0.0,miss,0.35,0.4,0.0,0.0,-90.0,0.5315072906367325,standard,1.0,0,,,nan,nan,,1
5,IMG_2647.MOV,,,usa_academy,nan,nan,,,0.0,0.0,,,nan,nan,0,,,nan,nan,,1
5,IMG_2648.MOV,,,usa_academy,nan,nan,,,0.0,0.0,,,nan,nan,0,,,nan,nan,,1
5,IMG_2650.MOV,,,usa_academy,nan,nan,,,0.0,0.0,,,nan,nan,0,,,nan,nan,,1
5,IMG_2652.MOV,,,usa_academy,nan,nan,,,0.0,0.0,,,nan,nan,0,,,nan,nan,,1
5,IMG_2654.MOV,,,usa_academy,nan,nan,,,0.0,0.0,,,nan,nan,0,,,nan,nan,,1
5,IMG_2655.MOV,,,usa_academy,nan,nan,,,0.0,0.0,,,nan,nan,0,,,nan,nan,,1
